year,mo,da,temp,min,max,prcp
2019,01,30,81.5,73.4,91.4,0.0
2019,01,16,80.9,73.4,89.8,0.65
2019,01,21,84.1,75.2,91.6,0.0
2019,01,24,81.3,69.8,91.4,0.0
2019,01,17,83.7,75.2,94.6,0.0
2019,01,31,84.6,74.3,95.0,0.0
2019,01,08,81.5,75.0,89.8,0.0
2019,01,01,68.5,64.4,77.0,0.0
2019,01,09,81.3,74.8,87.8,0.24
2019,01,18,74.7,64.4,87.8,0.0
2019,01,23,82.1,73.4,90.0,0.0
2019,01,15,84.6,78.3,89.8,0.0
2019,01,05,78.7,73.4,88.7,99.99
2019,01,10,82.4,75.2,90.1,0.0
2019,01,11,81.0,71.6,91.4,0.0
2019,01,31,74.2,60.8,89.6,0.0
2019,01,28,82.9,74.7,89.6,0.0
2019,01,22,72.2,57.2,86.0,0.0
2019,01,20,80.5,71.4,90.3,0.0
2019,01,11,84.4,74.8,91.4,0.0
2019,01,16,80.6,71.6,89.6,99.99
2019,01,29,83.0,78.8,86.9,0.0
2019,01,21,84.4,76.3,87.8,0.0
2019,01,03,78.6,76.3,80.1,0.0
2019,01,02,81.3,74.5,86.4,0.0
2019,01,26,86.9,72.5,95.9,0.0
2019,01,15,83.8,81.5,86.9,0.0
2019,01,09,83.7,76.6,93.4,0.0
2019,01,01,78.4,74.5,82.4,0.0
2019,01,18,84.6,78.8,89.6,0.0
2019,01,08,83.1,77.5,86.5,0.0
2019,01,05,80.3,78.1,82.4,0.0
2019,01,18,83.0,79.2,90.1,0.0
2019,01,17,86.4,75.6,92.3,0.0
2019,01,20,84.7,79.7,88.7,0.0
2019,01,30,83.7,80.1,85.3,0.0
2019,01,11,86.0,76.1,91.4,0.0
2019,01,09,82.9,79.9,86.0,0.0
2019,01,02,78.5,75.0,84.4,0.0
2019,01,04,80.9,77.0,85.5,0.0
2019,01,26,83.4,70.2,88.9,0.0
2019,01,06,83.1,76.1,88.7,0.0
2019,01,07,84.6,77.0,88.3,0.0
2019,01,06,81.7,76.1,86.5,0.01
2019,01,18,82.4,79.7,85.1,0.0
2019,01,24,84.1,80.8,86.4,0.0
2019,01,07,82.5,77.9,85.1,0.0
2019,01,15,85.3,77.5,90.5,0.0
2019,01,27,82.3,71.6,89.8,0.0
2019,01,12,86.2,76.3,90.5,0.0
2019,01,13,85.9,77.0,90.5,0.0
2019,01,04,80.2,77.5,82.2,0.0
2019,01,06,84.4,75.2,90.5,0.04
2019,01,07,84.9,76.1,90.5,0.0
2019,01,04,79.0,75.2,83.3,0.02
2019,01,26,80.4,70.2,87.8,0.0
2019,01,22,84.3,81.3,86.7,0.0
2019,01,22,86.8,76.5,93.6,0.0
2019,01,05,80.2,78.4,85.3,0.54
2019,01,22,86.4,79.0,91.4,0.0
2019,01,17,77.8,73.8,83.5,0.43
2019,01,05,79.7,77.0,83.3,0.3
2019,01,13,82.4,70.0,92.7,0.0
2019,01,16,79.2,72.9,84.6,0.19
2019,01,18,70.7,60.3,86.0,0.0
2019,01,01,73.8,67.8,82.2,0.0
